Index,Feature
216,Solvent_FractionCSP3
217,Solvent_HeavyAtomCount
218,Solvent_NHOHCount
219,Solvent_NOCount
220,Solvent_NumAliphaticCarbocycles
221,Solvent_NumAliphaticHeterocycles
222,Solvent_NumAliphaticRings
223,Solvent_NumAmideBonds
224,Solvent_NumAromaticCarbocycles
225,Solvent_NumAromaticRings
226,Solvent_NumHAcceptors
227,Solvent_NumHDonors
228,Solvent_NumHeteroatoms
229,Solvent_NumHeterocycles
230,Solvent_NumRotatableBonds
231,Solvent_NumSaturatedCarbocycles
232,Solvent_NumSaturatedHeterocycles
233,Solvent_NumSaturatedRings
234,Solvent_Phi
235,Solvent_RingCount
236,Solvent_MolLogP
237,Solvent_fr_Al_OH
238,Solvent_fr_Al_OH_noTert
239,Solvent_fr_C_O
240,Solvent_fr_C_O_noCOO
241,Solvent_fr_NH0
242,Solvent_fr_alkyl_halide
243,Solvent_fr_amide
244,Solvent_fr_aryl_methyl
245,Solvent_fr_benzene
246,Solvent_fr_ester
247,Solvent_fr_ether
248,Solvent_fr_halogen
249,Solvent_fr_ketone
250,Solvent_fr_ketone_Topliss
251,Solvent_fr_methoxy
252,Solvent_fr_nitrile
253,Solvent_fr_unbrch_alkane
254,Interact_MolLogP
255,Interact_MolWt
256,Interact_TPSA
257,Interact_NumHDonors
258,Interact_NumHAcceptors
259,Interact_NumRotatableBonds
260,Interact_HallKierAlpha
261,Interact_LabuteASA
262,Interact_HeavyAtomCount
263,Interact_NumAromaticRings
264,Interact_MaxPartialCharge
265,Interact_MinPartialCharge
266,Interact_pred_Tm
267,Interact_abraham_A
268,Interact_abraham_B
269,Interact_abraham_S
270,Interact_abraham_E
271,Interact_abraham_V
272,Interact_Acidic
273,Interact_Basic
274,Interact_Protic
275,Interact_Polar
276,Interact_Halogen
277,Interact_Aromatic
278,pred_Tm
279,T_red
280,T
281,T_inv
