Solvent,Name,Polarity,Count,RMSE_With,RMSE_Without,Delta_RMSE,Pct_Improvement,bertz_complexity,n_functional_groups,n_heteroatoms,n_rotatable_bonds,composite_complexity,complexity_quartile
OCCO,Ethylene Glycol,polar-protic,486,0.5287527000467052,0.5336737814049947,0.0049210813582895,0.9221141322202204,6.0,1,2,1,0.7631740678041736,Q2
CCOCCO,2-Ethoxyethanol,polar-protic,243,0.5822298707718844,0.5871161472887003,0.0048862765168159,0.8322504055425402,17.50977500432694,2,2,3,1.1537507577580461,Q2
CC(C)CCCCCO,CC(C)CCCCCO,polar-protic,15,0.2121811328894658,0.215067472498629,0.0028863396091631,1.3420623656520403,50.52932501298081,1,1,5,0.7846386951171918,Q2
CCCCCCO,1-Hexanol,polar-protic,194,0.3349090871884597,0.3374423017090859,0.0025332145206262,0.7507104200617197,23.360990398949916,1,1,4,0.6495181852451524,Q1
CC(=O)O,Acetic Acid,polar-protic,338,0.6894729062747119,0.6909007524219097,0.0014278461471978,0.2066644365623563,27.019550008653873,2,2,0,1.2010472028883052,Q3
CCC(C)O,2-Butanol,polar-protic,499,0.3254867758642104,0.3264554715572155,0.0009686956930051,0.2967313393108011,17.609640474436812,1,1,1,0.6209141009207719,Q1
O=C1CCCCC1,Cyclohexanone,polar-aprotic,244,0.4297593422373115,0.4302758269768842,0.0005164847395727,0.1200357322421746,68.24920506009684,2,1,0,1.206101067674047,Q3
CCOCC,CCOCC,polar-protic,84,0.5808803727018498,0.58085136814325,-2.9004558599776686e-05,-0.0049934561904352,11.119415478763749,1,1,2,0.5886352541287901,Q1
CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC,non-polar,16,1.090870332215884,1.0892206441744838,-0.0016496880414003,-0.1514558184536249,92.6059378176129,0,0,13,0.46057153347308954,Q1
CCCCCOC(C)=O,CCCCCOC(C)=O,polar-protic,68,0.2815690933211566,0.2796306208170991,-0.0019384725040574,-0.693226120370202,78.98533616859814,3,2,4,1.792830073949533,Q4
CC(=O)N(C)C,DMAc,polar-aprotic,167,0.4087674725716312,0.4067387679874177,-0.0020287045842135,-0.4987733513212244,58.568425030288566,2,2,0,1.35795413661736,Q3
CC(C)CCO,3-Methyl-1-butanol,polar-protic,207,0.1910661923827661,0.1888063712851176,-0.0022598210976484,-1.1968987499028,25.11941547876375,1,1,2,0.6582636345607509,Q1
CCOCCOCC,CCOCCOCC,polar-protic,18,1.0414253207243127,1.037264594098202,-0.0041607266261107,-0.4011249058132669,31.509775004326936,1,2,5,0.8900458048566736,Q2
CCCCOP(=O)(OCCCC)OCCCC,CCCCOP(=O)(OCCCC)OCC...,polar-protic,10,0.1245665926467073,0.1201684241762294,-0.0043981684704778,-3.660003449847926,175.3980969974987,0,5,12,1.8723346731988424,Q4
COC(C)(C)C,COC(C)(C)C,polar-protic,103,0.8615300196115414,0.8570402063177945,-0.0044898132937468,-0.523874289753219,33.69332843436965,1,1,0,0.7009056112081398,Q1
CCC(=O)CC,CCC(=O)CC,polar-protic,54,0.7400280647732697,0.7355328994406616,-0.004495165332608,-0.6111440203458525,41.900134529890124,2,1,2,1.0750551314664898,Q2
CC(C)c1ccccc1,CC(C)c1ccccc1,non-polar,10,0.4041527698199285,0.3992398517537549,-0.0049129180661735,-1.2305680519097495,162.65300142116237,0,0,1,0.8089475043823535,Q2
