Solvent,Name,Polarity,Count,RMSE_With,RMSE_Without,Delta_RMSE,Pct_Improvement
COC(C)(C)C,COC(C)(C)C,polar-protic,103,0.8615300196115414,0.8570402063177945,-0.004489813293746869,-0.523874289753219
CCC(=O)CC,CCC(=O)CC,polar-protic,54,0.7400280647732697,0.7355328994406616,-0.004495165332608075,-0.6111440203458525
CC(C)c1ccccc1,CC(C)c1ccccc1,non-polar,10,0.4041527698199285,0.3992398517537549,-0.004912918066173555,-1.2305680519097497
ClC(Cl)(Cl)Cl,Carbon Tetrachloride,non-polar,192,0.7420668543608209,0.7365898349802035,-0.005477019380617398,-0.743564344838481
Cc1ccccc1C,Cc1ccccc1C,non-polar,62,0.3025226047330272,0.29616864728290065,-0.006353957450126568,-2.1453849043167827
CCCCC,CCCCC,non-polar,17,1.5767594090592496,1.569133816452145,-0.007625592607104714,-0.4859746522031111
CCCOC(C)=O,Propyl Acetate,polar-aprotic,248,0.2738399645538992,0.2651564496482035,-0.008683514905695688,-3.2748646760116706
Clc1ccccc1Cl,Clc1ccccc1Cl,non-polar,20,1.12761433965836,1.1185324998077488,-0.009081839850611173,-0.8119424202848055
CS(C)=O,DMSO,polar-aprotic,433,0.7936760955409481,0.7823126649038116,-0.011363430637136518,-1.4525433559910086
Cc1cccc(C)c1,Cc1cccc(C)c1,non-polar,47,0.19130633304739392,0.1796117254358844,-0.011694607611509505,-6.511049088320296
ClCCl,Dichloromethane,polar-aprotic,354,0.7811932352050943,0.7688676283532483,-0.012325606851846027,-1.6030856804629516
CC(=O)OC(C)C,CC(=O)OC(C)C,polar-protic,140,0.30664660475157857,0.2935379188193918,-0.013108685932186781,-4.465755560613722
CCCCCCCCCO,CCCCCCCCCO,polar-protic,16,0.2025590671432412,0.18942141197188442,-0.013137655171356788,-6.935675874545162
CCc1ccccc1,CCc1ccccc1,non-polar,117,0.43404883593540866,0.4197261149291424,-0.014322721006266248,-3.4123969171382607
CCOC=O,CCOC=O,polar-protic,138,0.4647625468357494,0.4498436894661403,-0.014918857369609129,-3.3164536302186076
CC(C)CC(C)(C)C,CC(C)CC(C)(C)C,non-polar,20,0.9386681591547519,0.9231236089399797,-0.01554455021477219,-1.683907774021938
CCC(=O)OC,CCC(=O)OC,polar-protic,27,0.22800904407853073,0.21198487702711635,-0.01602416705141438,-7.559108591206072
c1ccccc1,Benzene,non-polar,254,0.6128919373506118,0.5954028433741003,-0.01748909397651144,-2.937354796191792
O=S1(=O)CCCC1,O=S1(=O)CCCC1,polar-aprotic,24,0.2293892168818341,0.211765652083811,-0.0176235647980231,-8.322201747358056
O=C1CCCC1,O=C1CCCC1,polar-aprotic,35,0.16230321624353836,0.14353979728811747,-0.018763418955420885,-13.071928001791989
CCOCCOCCO,CCOCCOCCO,polar-protic,44,0.8675752848252711,0.848453645496616,-0.019121639328655182,-2.253704657897124
OCCOCCO,OCCOCCO,polar-protic,36,1.2243493245008688,1.205216728651104,-0.01913259584976479,-1.5874817694555459
CCCCOC(C)=O,Butyl Acetate,polar-aprotic,340,0.4458083321129513,0.4250817532971877,-0.020726578815763563,-4.87590414196701
CCOP(=O)(OCC)OCC,CCOP(=O)(OCC)OCC,polar-protic,13,1.0372883443334775,1.0157743147075666,-0.02151402962591087,-2.117993073304338
O=C1CCCO1,O=C1CCCO1,polar-aprotic,32,1.1393143457115011,1.1163386221030989,-0.022975723608402276,-2.0581321073634204
CC(=O)CC(C)(C)O,CC(=O)CC(C)(C)O,polar-protic,10,0.09261168143160406,0.06889970218402315,-0.023711979247580908,-34.415212977624996
CCCOCCO,CCCOCCO,polar-protic,51,0.6273124705126402,0.6008013033474012,-0.026511167165238936,-4.412634762529699
Nc1ccccc1,Nc1ccccc1,polar-aprotic,10,0.5053575046076688,0.475681685894591,-0.02967581871307784,-6.238587608700553
O=CO,O=CO,polar-aprotic,31,0.6421616605690397,0.6121223445646758,-0.030039316004363825,-4.90740393176252
CCC(C)OC(C)=O,CCC(C)OC(C)=O,polar-protic,10,0.33493048465399533,0.3018425251809846,-0.03308795947301074,-10.961993991128725
CC(=O)CC(C)=O,CC(=O)CC(C)=O,polar-protic,10,0.33885554983375366,0.3018590473106418,-0.036996502523111874,-12.25621787808763
OCc1ccccc1,OCc1ccccc1,polar-protic,36,0.7889592331200536,0.7501587607471838,-0.038800472372869765,-5.172301438461262
CC(=O)OC(C)(C)C,CC(=O)OC(C)(C)C,polar-protic,10,0.4639063113297106,0.42323816982462037,-0.04066814150509024,-9.608807618164999
CCCC(C)=O,CCCC(C)=O,polar-protic,30,0.2334982552168155,0.19096034933547035,-0.04253790588134515,-22.27577925437103
COCC(C)OC(C)=O,COCC(C)OC(C)=O,polar-protic,33,0.6678940857563058,0.6190614127149264,-0.04883267304137939,-7.888179110893237
CCCCOCCO,CCCCOCCO,polar-protic,22,0.7268931202648649,0.6768764824554592,-0.050016637809405684,-7.389330122382698
ClCC1CO1,ClCC1CO1,polar-protic,18,0.6253387509686325,0.574419832020032,-0.050918918948600456,-8.864408244669509
COc1ccccc1,COc1ccccc1,polar-protic,36,0.5500433892810673,0.47298000114613203,-0.0770633881349353,-16.293159953527457
CCCBr,CCCBr,non-polar,15,0.5181780915643585,0.43906779301683524,-0.07911029854752322,-18.0177867303717
CC1CCCCC1,CC1CCCCC1,non-polar,41,0.9841663595032144,0.9029952088115003,-0.0811711506917141,-8.989100927628346
CCCOCCC,CCCOCCC,polar-protic,40,0.5333198370153239,0.43880748168448985,-0.09451235533083407,-21.538455763794403
CC(=O)OC(C)=O,CC(=O)OC(C)=O,polar-protic,18,0.7022898906100667,0.6014741523517887,-0.10081573825827805,-16.761441512338372
ClC=C(Cl)Cl,ClC=C(Cl)Cl,non-polar,38,0.5467023004174345,0.4163591006946058,-0.1303431997228287,-31.305476331699982
