pair_id,n_temps,apelblat_r2,A,B,C,model_rmse,curve_rmse,slope_correlation,holdout_rmse,holdout_apelblat_rmse
Brc1cc(Br)cc(Br)c1||CC(=O)N(C)C,9,0.9998395551176976,3.1496674709804657,-3139.4998119507404,1.0615179270310642,0.43140694077574154,0.44025644982357354,-0.1327386508116129,0.43140694077574154,0.0026045068882581835
Brc1cnc2[nH]ccc2c1||ClCCl,8,0.9999244992532818,311.61118423824854,-19910.450799034043,-43.41547432247839,0.41319448131707226,0.3916819082214907,-0.14945505514151933,0.41319448131707226,0.0035339256218385774
Brc1sc(Br)c(Br)c1Br||CCOC=O,11,0.9996122045494771,23.422971683361457,-3753.2467182595683,-2.2951199586374074,0.212068109834844,0.20602637993973152,-0.17155452964982065,0.212068109834844,0.003999682036615584
C#CC1(O)C=CC2C3CC=C4CC(=O)CCC4C3CCC21CC||CC(=O)OC(C)C,9,0.9999806679469384,8.069358800998025,-3139.3013948751545,0.204173139170459,0.2747755049961396,0.2667540448043251,0.06483014767135328,0.2747755049961396,0.0008628869656636338
C1=Cc2ccccc2Nc2ccccc21||CC(=O)N(C)C,10,0.9997423224509236,-23.739815700718605,-9.966298450792351,4.284100950957116,0.2677098284373421,0.2626339800934643,0.17439239285752442,0.2677098284373421,0.0014409053103484777
C1=Cc2ccccc2Nc2ccccc21||CC(=O)OC(C)C,10,0.9985772203621777,32.08468833553307,-3104.274473508805,-4.163615082353801,0.33665896505692555,0.34168365032038744,-0.21397945376279018,0.33665896505692555,0.004867658819129282
C1=Cc2ccccc2Nc2ccccc21||CC(=O)OCC(C)C,10,0.9994304729982876,-100.85237051490743,2776.4400079620314,15.701024293384812,0.333598514178463,0.34032061384161544,0.22088501048468503,0.333598514178463,0.0031935731892188493
C1=Cc2ccccc2Nc2ccccc21||CCCCOC(C)=O,10,0.999107328723472,-63.65360199035578,1150.0939776951263,10.176202785908766,0.29636011429514714,0.3028449119448006,0.1801448626005087,0.29636011429514714,0.003937941724564858
C1=Cc2ccccc2Nc2ccccc21||CCCOC(C)=O,10,0.9995367222122825,-85.7472048897087,2195.3425496138707,13.448210615430112,0.28213918996331583,0.2888034269888184,0.1833977934007472,0.28213918996331583,0.002739656786758207
C1=Cc2ccccc2Nc2ccccc21||CN1CCCC1=O,10,0.9961446805114985,-23.361778008900853,596.0527755064959,3.9619168710587362,0.4262269120293237,0.4199694151780546,0.18168113359892796,0.4262269120293237,0.002551057084735888
C1OCOCO1||COCOC,8,0.9999873807449834,113.52422051271918,-6936.136606659454,-15.543361959720032,0.23583943963044582,0.22393779915221368,0.07672967754029615,0.23583943963044582,0.00029741000127000847
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C12||COCCO,9,0.997451189012237,-173.61641722283272,6667.922634488099,26.201376775144674,0.27564555892189796,0.2701184872499708,0.16454585306359532,0.27564555892189796,0.0036112112967464816
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12||CCCCCCCCCO,8,0.9991392863305267,-459.73867928349534,19029.598311133475,68.73141431069594,0.07749165056282155,0.09191655955455198,-0.1695550190092159,0.07749165056282155,0.0034820661620805662
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12||CCCCCCCCO,8,0.9899775058517218,-793.7497481890559,34698.51558209417,118.08522510237896,0.22583808991977128,0.24333312425403433,-0.1695550190097841,0.22583808991977128,0.01030728503760343
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12||CN1CCCC1=O,8,0.9990476355046133,10.69556196391036,-1109.564627386682,-1.7192180317364623,0.11682335792620797,0.11782611016768527,0.17731590278286063,0.11682335792620797,0.0009219792596299725
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O||CCCCCCC,10,0.9997362554636104,358.42627867673485,-19311.482115836963,-52.666997224524245,0.31104875669270676,0.31062570835617137,-0.26590323195777804,0.31104875669270676,0.0040109157956566424
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O||CS(C)=O,10,0.9997477934637947,-82.52213981005622,1434.5320954271492,13.867234501464967,0.377647635282053,0.37005529223236494,0.010399125364131904,0.377647635282053,0.002997693612517717
C=CC(=O)NC(C)(C)CC(C)=O||CC(C)CCO,11,0.9644069802516331,-1891.4412070298135,78200.11839180178,286.2558078633174,0.2917238012719845,0.244040071593438,0.3311271171168524,0.2917238012719845,0.10901126772593318
C=CC(=O)NC(C)(C)CC(C)=O||CCCC(C)=O,11,0.9999742998902704,17.13877154082772,-2709.8788581810245,-1.162936154972782,0.23875173308510564,0.2463402125984697,-0.2374886158465517,0.23875173308510564,0.0009436726398194501
