Solvent,Name,Polarity,Count,RMSE_With,RMSE_Without,Delta_RMSE,Pct_Improvement,n_heteroatoms_simple,data_scarce,multifunctional,difficult
COC(C)COC(C)COC(C)CO,COC(C)COC(C)COC(C)CO,polar-protic,33,0.1669442334242768,0.2940081073463889,0.127063873922112,43.2178129606509,4,False,True,False
CCCCC(C)=O,CCCCC(C)=O,polar-protic,10,0.6791854859697688,0.7534013372275509,0.074215851257782,9.85077243569672,1,True,False,True
CC(=O)c1ccccc1,CC(=O)c1ccccc1,polar-protic,15,1.2142568361594832,1.279305692753809,0.0650488565943256,5.0847000027259135,1,True,False,True
CCCCCCC(C)O,CCCCCCC(C)O,polar-protic,10,0.4241102549190347,0.4884119167907526,0.0643016618717178,13.165457201419228,1,True,False,False
COC(=O)CCC(=O)OC,COC(=O)CCC(=O)OC,polar-protic,10,1.5588280103347485,1.6147812443555818,0.0559532340208333,3.46506588532757,4,True,True,True
CC1COC(=O)O1,CC1COC(=O)O1,polar-protic,13,0.7285050084629211,0.7777278400773805,0.0492228316144593,6.329056139942468,3,True,True,True
CC(C)OC(C)C,CC(C)OC(C)C,polar-protic,24,0.5487253426745884,0.5865559489028119,0.0378306062282235,6.449615982752873,1,True,False,False
NC=O,NC=O,polar-protic,30,0.7094108822721661,0.7461008895634882,0.0366900072913221,4.917566485249449,2,True,False,False
CN1CCCC1=O,NMP,polar-aprotic,533,0.5030796795810357,0.5357754167784488,0.032695737197413,6.102507911618725,2,False,False,False
CCCCC(CC)CO,CCCCC(CC)CO,polar-protic,19,0.547686626282448,0.5801522473490667,0.0324656210666186,5.5960519354990454,1,True,False,False
CCCOCC(C)O,CCCOCC(C)O,polar-protic,33,0.4967858509526519,0.5274805241677225,0.0306946732150705,5.8191102436439195,2,False,False,False
C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,non-polar,20,0.139673483802808,0.1700957065199633,0.0304222227171552,17.885356038416358,0,True,False,False
CCCCCCCO,CCCCCCCO,polar-protic,128,0.1915741334580022,0.2211991562453854,0.0296250227873831,13.392918531081058,1,False,False,False
CN(C)c1ccccc1,CN(C)c1ccccc1,polar-aprotic,10,0.4155762589301709,0.4426862337864148,0.0271099748562438,6.123970611049944,1,True,False,False
CCCC(C)O,CCCC(C)O,polar-protic,18,0.6233991552179433,0.6471006799154663,0.0237015246975229,3.662725976523343,1,True,False,False
CC(=O)CC(C)C,CC(=O)CC(C)C,polar-protic,66,0.2219398102626688,0.2455619250405001,0.0236221147778312,9.61961622264336,1,False,False,False
CCCCCCCC,CCCCCCCC,non-polar,30,0.7841065002217599,0.806564573722433,0.022458073500673,2.784411097678794,0,True,False,True
CCCCOCCOCCO,CCCCOCCOCCO,polar-protic,21,0.2191541350823905,0.2388656842910357,0.0197115492086451,8.25214775707526,3,True,True,False
CCCCCCC,Heptane,non-polar,212,0.7576382210713016,0.7771678704653551,0.0195296493940534,2.5129254741783664,0,False,False,True
CCC(=O)O,CCC(=O)O,polar-protic,38,0.6214892770830694,0.6379495287015994,0.0164602516185299,2.58018085725857,2,False,False,False
Clc1ccccc1,Clc1ccccc1,non-polar,81,0.7085931848694323,0.7243973414250261,0.0158041565555937,2.1816972056391037,1,False,False,False
CC(C)(C)O,CC(C)(C)O,polar-protic,75,0.3148897922046024,0.3306133979785852,0.0157236057739827,4.7558888629798375,1,False,False,False
CCCCCC,Hexane,non-polar,521,1.2711530169869865,1.2852912518719934,0.0141382348850069,1.100002420806569,0,False,False,True
CCCC(=O)O,CCCC(=O)O,polar-protic,10,0.0209764709784838,0.0349545106517922,0.0139780396733084,39.9892300383032,2,True,False,False
COCC(C)O,COCC(C)O,polar-protic,46,0.4255712094984115,0.438886448501007,0.0133152390025955,3.0338687940976645,2,False,False,False
CC(O)CO,Propylene Glycol,polar-protic,162,0.6463689112297691,0.6585788990063522,0.0122099877765831,1.8539901285943472,2,False,False,False
CCC(C)(C)O,CCC(C)(C)O,polar-protic,53,0.5464439998424213,0.5576572376939878,0.0112132378515664,2.010775991706879,1,False,False,False
c1ccncc1,c1ccncc1,non-polar,49,0.4996526025330206,0.510585011371038,0.0109324088380173,2.1411534993284183,1,False,False,False
CC(=O)OCC(C)C,CC(=O)OCC(C)C,polar-protic,109,0.7022615812497935,0.7125715069865095,0.0103099257367159,1.4468619128930666,2,False,False,False
COCCO,COCCO,polar-protic,103,0.5433917484342172,0.553531270687003,0.0101395222527858,1.8317885166995824,2,False,False,False
CCCCCCCCCCCC,CCCCCCCCCCCC,non-polar,16,1.622185949325759,1.630551116526334,0.0083651672005748,0.5130269830727994,0,True,False,True
CCCCCCCCO,1-Octanol,polar-protic,473,0.9577186797427436,0.9654835971083784,0.0077649173656348,0.8042516091304717,1,False,False,True
Cc1ccc(C(C)C)cc1,Cc1ccc(C(C)C)cc1,non-polar,28,0.109457619780038,0.1158802207001564,0.0064226009201184,5.542447952992005,0,True,False,False
ClCCCl,"1,2-Dichloroethane",polar-aprotic,178,0.8557508246730732,0.8617082547600734,0.0059574300870002,0.6913511683439729,2,False,False,True
OCCO,Ethylene Glycol,polar-protic,486,0.5287527000467052,0.5336737814049947,0.0049210813582895,0.9221141322202204,2,False,False,False
CCOCCO,2-Ethoxyethanol,polar-protic,243,0.5822298707718844,0.5871161472887003,0.0048862765168159,0.8322504055425402,2,False,False,False
