Source,Solute,Solvent,Num_Temps,RMSE_Known,R2_Known,R2_Synthetic,RMSE_Synthetic,R2_Holdout_Interp,R2_Holdout_Extrap,Shape_Correlation,Curve_Max_Deviation,Curve_Within_Tolerance,Mean_Signed_Error,Pct_Over_Prediction,Bias_Category,Curve_Position,Category
train,Brc1cn[nH]c1,CCO,15,0.14572545106745957,-2.1765234262689304,-0.06147939065720598,0.1931316886616576,-8.323722032835226,-1.0079417166244005,0.9933520219382352,0.22087280604814197,True,-0.14010711164122552,0.0,Under,Below,Poor
train,Brc1cn[nH]c1,CO,15,0.07951795071390982,0.5405888214728618,0.8462847293031793,0.10792317504704108,-0.29216021748787924,0.7220725843015906,0.9993676246010185,0.09786217574495026,True,-0.07772473514532027,0.0,Under,Below,Moderate
train,Brc1cn[nH]c1,O,15,0.05226145499952556,0.7048688551086627,0.8632065130255461,0.08286988484782085,0.5826080153010846,0.713825994016097,0.9999894484884311,0.08967899546230385,True,-0.004114886377438168,46.666666666666664,Balanced,Intersects,Good
train,Brc1sc(Br)c(Br)c1Br,CCO,12,0.11929696515891261,0.6010622127031546,0.9207943206426872,0.11618915018860634,-1.1060376839408042,0.8293296370079254,0.9999247779585553,0.1322480244855484,True,-0.11870889243007128,0.0,Under,Below,Good
train,Brc1sc(Br)c(Br)c1Br,ClC(Cl)Cl,12,0.17416401355298858,0.1971436909724127,0.7802527563443172,0.19765491809876543,-3.7007855738351383,0.7533373237446936,0.9990848373826137,0.18844132849575113,True,0.17253364143070918,100.0,Over,Above,Poor
train,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,C1CCCCC1,9,0.19578205553293693,0.5902982204425649,0.7133438084308514,0.35025865847721727,-0.15681325594406204,0.6779821231093641,0.9985194781986776,0.29387253505825583,True,0.1798892218005793,100.0,Over,Above,Moderate
train,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,CC(C)O,10,0.14067153324107196,0.8080048599047541,0.7280547352565634,0.3527284353885755,0.4841302998430713,0.8363213738884206,0.9986434034293272,0.28182148686348896,True,0.08987051745069925,90.0,Over,Intersects,Good
train,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,CCO,10,0.05348953335365307,0.91808542640958,0.9868047397857922,0.04473152100767614,0.24658856598778478,0.9706896601159347,0.9999879761578857,0.08151626693011593,True,-0.048715520880554246,0.0,Under,Below,Excellent
train,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,CO,10,0.04101799240610857,0.9557587822737643,0.9396170595362819,0.09995355398667788,0.7272404864717015,0.9813656255634112,0.9999988447955804,0.04997997548874622,True,-0.03964660299825144,0.0,Under,Below,Excellent
train,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,Cc1ccccc1,10,0.15177321373031963,0.6807483909291165,0.708283872185411,0.30620749124260194,-0.6606411594826016,0.7409703131792154,0.9984167898950632,0.24495578072934876,True,0.1410448776419408,100.0,Over,Above,Moderate
train,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,C1CCOC1,11,0.19581596465508147,0.02889996987643484,0.7098668900824301,0.2228200155727692,-5.105953423237321,0.704249952639169,0.9949397056129383,0.23584815475309995,True,-0.18795629371898984,0.0,Under,Below,Poor
train,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,CC(C)=O,11,0.028912549565003554,0.9509134557075024,0.9460768551978459,0.06243653984006104,0.706256861154702,0.9934389611799851,0.9990323349471489,0.050489108722253206,True,0.008017551275215161,63.63636363636363,Over,Intersects,Excellent
train,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,CC(C)O,11,0.09153701445728084,0.7827517597169702,0.9670196409613822,0.07342652574580946,-0.19632980211682938,0.9654715371874399,0.9997851041148142,0.09380769612425155,True,-0.08891535108493004,0.0,Under,Below,Good
train,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,CCCCO,11,0.08286925420271711,0.864997368173402,0.7428690836141798,0.23787888238569863,0.8341106837755354,0.851830577452088,0.9969925368816683,0.15427933442271957,True,0.06919491794345635,100.0,Over,Above,Good
train,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,CCCO,11,0.08673563409792326,0.728908049830651,0.7927980857451837,0.1563051615024701,0.18200170902533797,0.808715162757021,0.9995646200895046,0.12609268274816188,True,0.08116067355797098,100.0,Over,Above,Good
train,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,CCO,11,0.21225415347278911,0.1462464865773352,0.5415243958973797,0.32059638917725847,-1.7297697089441275,0.5099872305738291,0.9995372963442053,0.28771137842235817,True,0.20672650956071265,100.0,Over,Above,Poor
train,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,CCOC(C)=O,11,0.11432641559743764,0.5013562293017492,0.8919099175179814,0.11097183005160612,-2.280866338126004,0.8978601855619406,0.9941776250740743,0.1316366834831264,True,-0.11096874454691687,0.0,Under,Below,Moderate
train,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,CN(C)C=O,11,0.15187576703219244,-8.35637821856034,-0.9602325831308218,0.14329689338969007,-24.346698475979196,-2.965484592870056,0.9971796001359464,0.24516153589909973,True,-0.12432732966251057,9.090909090909092,Under,Intersects,Poor
train,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,COC(C)=O,11,0.051360862522102306,0.8504790208402886,0.8298839285395585,0.11449202214902274,0.4731454268477552,0.8849263945847673,0.9923247049671575,0.10284030042416248,True,0.03560944991057841,72.72727272727273,Over,Intersects,Good
train,C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3C(=C)CC21CC,O,11,0.04299557509249522,0.9555571215260781,0.9418926332104098,0.10080177056955388,0.9247408595489086,0.9593503328075181,0.9999988890261899,0.0605695562933235,True,0.02769264140478049,81.81818181818183,Over,Intersects,Excellent
train,C1=Cc2cccc3cccc1c23,CC(C)O,10,0.08288605687414222,0.9115259399686049,0.8268092068405132,0.24321312434972212,0.6449405657710969,0.90897539316387,0.9999600159989179,0.15781058959069583,True,0.04429953536263783,70.0,Over,Intersects,Good
train,C1=Cc2cccc3cccc1c23,CCCCO,10,0.05323236397153569,0.9546507670446679,0.8909413411443932,0.1732317384292471,0.9391778529887077,0.956274126876155,0.9997920719411567,0.08914883887006653,True,-0.024752734512219373,30.0,Under,Intersects,Excellent
train,C1=Cc2cccc3cccc1c23,CCO,10,0.12695525895337145,0.7420240257341206,0.7706140024542766,0.2535924343823251,-1.1600357941282522,0.8495887187869267,0.9999993439586639,0.20481547559508684,True,0.1136788895483355,100.0,Over,Above,Good
train,C1=Cc2cccc3cccc1c23,Cc1ccccc1,10,0.09616193240375981,0.7104850617577414,0.983644231346075,0.047970187945894985,-2.0838503177663537,0.9288083783391201,0.999693761160139,0.11580744209404514,True,-0.09275380902585437,0.0,Under,Below,Good
train,C1CN2CN3CCN(CN1C3)C2,O,8,0.14428125279720705,-12.29795083954567,-1.161370099466966,0.13494841622317394,-60.81436513273839,-3.559468405342142,0.9949373585441634,0.18863877546146313,True,-0.13537715490422825,0.0,Under,Below,Poor
train,C1N2CN3CN1CN(C2)C3,CO,9,0.050473290671380254,-5.01457540631467e-05,0.6118087041549085,0.07418509639768814,-9.302587724072822,0.6563357816130876,0.9991601054388901,0.06736535815669287,True,0.012335561084107901,66.66666666666666,Over,Intersects,Poor
train,C1N2CN3CN1CN(C2)C3,O,9,0.10884360429520962,-45.956126038072625,-46.25701034422357,0.22426730090260705,-20.16271002967167,-75.2828237304372,-0.9684880819126332,0.1938315376410813,True,-0.009373928714607405,55.55555555555556,Balanced,Intersects,Poor
train,C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C12,CC(C)O,9,0.1988382852835759,-0.7449991836096865,0.7080200945333688,0.1720380521730324,-13.024559946852433,0.18064802643024558,0.9999999798305248,0.1995693096086839,True,-0.1986202331578449,0.0,Under,Below,Poor
train,C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C12,CCCO,9,0.11477780787218313,-0.04495309081345855,0.8376554961680573,0.09533096999649063,-3.9922175710183057,0.4212573462083875,0.9998645490004122,0.16589610060532323,True,-0.10916811919483564,0.0,Under,Below,Poor
