Group,Component,Variance_Explained_%,Cumulative_Variance_%,Pearson_r_with_LogS,Spearman_r_with_LogS,Quadratic_R2_with_LogS,Abs_Pearson
Morgan,PC1,1.142189999138216,1.142189999138216,-0.06011940084603429,-0.010301611017967125,0.01214352218017234,0.06011940084603429
Morgan,PC2,0.9765736396456179,2.1187636387838342,-0.19469350488347414,-0.23782140349408132,0.13445348810609048,0.19469350488347414
Morgan,PC3,0.7238152802128892,2.842578918996723,0.10822018060439481,0.025953734417980448,0.14822932748254625,0.10822018060439481
Morgan,PC4,0.7113423870090687,3.5539213060057917,-0.08340382906341097,-0.022282883927862134,0.013327842029102421,0.08340382906341097
Morgan,PC5,0.6342369249614024,4.188158230967194,0.32056397490302524,0.3292399700708862,0.1531974634007165,0.32056397490302524
Morgan,PC6,0.6053828424972539,4.793541073464448,0.12571199424687124,0.14763257428560728,0.02059093719527383,0.12571199424687124
Morgan,PC7,0.5535104145600799,5.347051488024528,-0.19221303228526282,-0.2620007304601362,0.038686332699860104,0.19221303228526282
Morgan,PC8,0.5419031791079977,5.888954667132526,-0.11472235771089195,-0.13077313012793973,0.01330951591445062,0.11472235771089195
Morgan,PC9,0.5211605181623575,6.410115185294883,0.07359661290581031,0.11472860907563043,0.011958891619431866,0.07359661290581031
Morgan,PC10,0.5083660049789637,6.918481190273846,-0.09738725429770813,-0.0900355397809822,0.010075339814482498,0.09738725429770813
MACCS,PC1,11.490985966159203,11.490985966159203,0.0427274286336056,0.023207800123725326,0.003286864775226217,0.0427274286336056
MACCS,PC2,7.148505401598369,18.63949136775757,-0.026063510940486156,-0.030068603630700727,0.005591558171358257,0.026063510940486156
MACCS,PC3,6.210317278194957,24.84980864595253,0.1729745609371103,0.14008285736421797,0.0920357525112746,0.1729745609371103
MACCS,PC4,5.019454408126377,29.869263054078903,0.017219635359715844,0.09560648693078638,0.004460262717781438,0.017219635359715844
MACCS,PC5,4.0606131623945805,33.92987621647349,-0.21005249309786644,-0.21773802485747537,0.04416972783286632,0.21005249309786644
MACCS,PC6,3.053556928228427,36.98343314470192,0.34269858241829243,0.37946742514727116,0.1190192772023766,0.34269858241829243
MACCS,PC7,2.6142277882739466,39.59766093297586,0.031427053235549916,0.036539282383319445,0.01202720020535164,0.031427053235549916
MACCS,PC8,2.392005937834181,41.98966687081004,0.05600501807330079,0.060555696267048986,0.004579396438896821,0.05600501807330079
MACCS,PC9,2.1055401694023734,44.09520704021242,-0.18796178433729557,-0.21058701063330618,0.0426866664626423,0.18796178433729557
MACCS,PC10,1.8614931397999943,45.95670018001242,0.04901094398677039,0.05971143730367082,0.0025027292041486238,0.04901094398677039
Abraham,PC1,55.38407519930561,55.38407519930561,-0.38991880135531165,-0.4102180525558549,0.15834217425360886,0.38991880135531165
Abraham,PC2,22.509272485613295,77.89334768491891,0.4117065417245086,0.4453624837891438,0.19974118712274014,0.4117065417245086
Abraham,PC3,13.707520596686404,91.60086828160532,-0.05905528256039428,-0.03043390769118717,0.03339935531292426,0.05905528256039428
Abraham,PC4,7.807833529393259,99.40870181099858,0.41354026728473037,0.3081724238227448,0.20643409281714875,0.41354026728473037
Abraham,PC5,0.5912981890014473,100.00000000000003,-0.2403888005473312,-0.2675565163408279,0.08855575324845666,0.2403888005473312
AUTOCORR2D,PC1,30.23856778461521,30.23856778461521,-0.4248067670065181,-0.47874260452243705,0.18050804966342027,0.4248067670065181
AUTOCORR2D,PC2,7.994154867310824,38.23272265192603,0.3029265096467607,0.4317837338467524,0.1666066232558424,0.3029265096467607
AUTOCORR2D,PC3,7.231539402585678,45.464262054511714,0.1898165815565772,0.17628291723398917,0.03608753608435844,0.1898165815565772
AUTOCORR2D,PC4,4.987391334908628,50.451653389420336,-0.05870272484861817,-0.020757597783536082,0.0037965966436313003,0.05870272484861817
AUTOCORR2D,PC5,4.3636949314501585,54.81534832087049,-0.17470391311526284,-0.1284892821523794,0.03411731894931869,0.17470391311526284
AUTOCORR2D,PC6,3.9550312993194114,58.77037962018991,-0.13942087658053304,-0.16218794003744483,0.02067866021303555,0.13942087658053304
AUTOCORR2D,PC7,3.683362262429287,62.4537418826192,-0.10604299592808195,-0.0166226546563946,0.011245914860025241,0.10604299592808195
AUTOCORR2D,PC8,3.1734856533788296,65.62722753599802,-0.05397814166363722,-0.05058180610986234,0.009842300554735117,0.05397814166363722
AUTOCORR2D,PC9,2.9721152803572832,68.5993428163553,0.09053664267052366,0.09715993371181396,0.01679943749698265,0.09053664267052366
AUTOCORR2D,PC10,2.612040594434533,71.21138341078984,-0.03061295943506431,-0.009122876932895912,0.024145627232386113,0.03061295943506431
MOSE,PC1,40.975262930788055,40.975262930788055,-0.4719972435232916,-0.5264997060933648,0.25269374836027736,0.4719972435232916
MOSE,PC2,18.208931878180483,59.184194808968535,0.1775531207555665,0.417737326234477,0.08454396505887951,0.1775531207555665
MOSE,PC3,11.14294587905121,70.32714068801975,0.14713361170890688,0.2782208871980952,0.02263150597633823,0.14713361170890688
MOSE,PC4,7.842928575334139,78.1700692633539,-0.004941260734268009,0.261865975819412,0.02867097289030962,0.004941260734268009
MOSE,PC5,6.984552188126206,85.1546214514801,0.026304259104950038,0.10499960862289114,0.0033955306014964437,0.026304259104950038
MOSE,PC6,5.62267022289061,90.7772916743707,-0.0006826971529814343,-0.06497142442126376,0.0010687319880011703,0.0006826971529814343
MOSE,PC7,3.0811473667746525,93.85843904114536,-0.08800571082754431,-0.16708939801292041,0.007932819691280457,0.08800571082754431
MOSE,PC8,2.6203466567946925,96.47878569794005,-0.08108531752061533,-0.10232222351062706,0.014147579828456602,0.08108531752061533
MOSE,PC9,1.9441106608504708,98.42289635879052,0.03320555078171719,0.04733690819342535,0.0011583422057486192,0.03320555078171719
MOSE,PC10,1.0223133023341109,99.44520966112464,0.24298402408181838,0.20156991194741733,0.08758431582795856,0.24298402408181838
