Experiment,R2,RMSE
FULL MODEL (Filtered Features),0.8577758723917177,0.8294234597557673
REMOVE: COMPOSITIONAL,0.8564659054707606,0.8332344407259248
REMOVE: TOPOLOGICAL,0.8566317350625902,0.8327529702424787
REMOVE: ENERGETIC,0.8548995711288564,0.8377684938964044
REMOVE: PHYSICOCHEMICAL,0.8437844068394842,0.8692643459321371
ONLY: COMPOSITIONAL,0.7834468141225308,1.0234625701834128
ONLY: TOPOLOGICAL,0.8291320167962348,0.9091175096842106
ONLY: ENERGETIC,0.793479354955444,0.9994737954739777
ONLY: PHYSICOCHEMICAL,0.8514878315219051,0.847560474463693
