Experiment,R2,RMSE,N_Features,Delta_R2,Delta_RMSE
FULL MODEL (400 features),0.48715950616566284,0.9065332744040413,176,0.0,0.0
REMOVE: COMPOSITIONAL,0.462475035571419,0.9280938914992587,67,-0.024684470594243835,0.021560617095217394
REMOVE: TOPOLOGICAL,0.48638152793559675,0.9072206186101845,157,-0.0007779782300660898,0.0006873442061432478
REMOVE: ENERGETIC,0.504697741925978,0.8908975172732075,170,0.017538235760315213,-0.01563575713083376
REMOVE: PHYSICOCHEMICAL,0.4392750551746788,0.9479109346942587,134,-0.04788445099098404,0.04137766029021739
ONLY: COMPOSITIONAL,0.44118019521343,0.9462992357196183,109,-0.045979310952232844,0.03976596131557697
ONLY: TOPOLOGICAL,0.514170438512625,0.8823371459391294,19,0.02701093234696217,-0.024196128464911926
ONLY: ENERGETIC,0.4454716199594063,0.9426587074994608,6,-0.04168788620625652,0.03612543309541949
ONLY: PHYSICOCHEMICAL,0.5446777899687781,0.8541851407915356,42,0.0575182838031153,-0.052348133612505676
