Feature,Category,Correlation,Abs_Corr
MaxEStateIndex,PHYSICOCHEMICAL,0.4350218091660567,0.4350218091660567
MaxAbsEStateIndex,PHYSICOCHEMICAL,0.43500647305276574,0.43500647305276574
AUTOCORR2D_183,TOPOLOGICAL,0.431106892984894,0.431106892984894
AUTOCORR2D_175,TOPOLOGICAL,0.430942297805988,0.430942297805988
AUTOCORR2D_85,TOPOLOGICAL,0.43084623654972326,0.43084623654972326
Morgan_893,TOPOLOGICAL,0.4303588915333216,0.4303588915333216
AUTOCORR2D_10,TOPOLOGICAL,0.4303540407422653,0.4303540407422653
AUTOCORR2D_76,TOPOLOGICAL,0.4280868667148571,0.4280868667148571
AUTOCORR2D_24,TOPOLOGICAL,0.4255014105916912,0.4255014105916912
AUTOCORR2D_159,TOPOLOGICAL,0.42547396832896617,0.42547396832896617
AUTOCORR2D_9,TOPOLOGICAL,0.4253557045256755,0.4253557045256755
AUTOCORR2D_93,TOPOLOGICAL,0.4248833350003584,0.4248833350003584
abraham_B,PHYSICOCHEMICAL,0.4220611472208041,0.4220611472208041
MACCS_154,TOPOLOGICAL,0.4218196572991084,0.4218196572991084
Chi4v,TOPOLOGICAL,0.42126055389286476,0.42126055389286476
AUTOCORR2D_67,TOPOLOGICAL,0.4212378896854319,0.4212378896854319
AUTOCORR2D_65,TOPOLOGICAL,0.4178410551754517,0.4178410551754517
AUTOCORR2D_191,TOPOLOGICAL,0.41770199353018594,0.41770199353018594
FractionCSP3,PHYSICOCHEMICAL,0.4173136660788048,0.4173136660788048
AUTOCORR2D_60,TOPOLOGICAL,0.4170247728986525,0.4170247728986525
AUTOCORR2D_1,TOPOLOGICAL,0.4156354107603396,0.4156354107603396
AUTOCORR2D_54,TOPOLOGICAL,0.415388054898395,0.415388054898395
AUTOCORR2D_151,TOPOLOGICAL,0.4136797198093411,0.4136797198093411
AUTOCORR2D_0,TOPOLOGICAL,0.41324919011758854,0.41324919011758854
MACCS_147,TOPOLOGICAL,0.41252092837641413,0.41252092837641413
NumAliphaticRings,COMPOSITIONAL,0.41187262705529787,0.41187262705529787
AUTOCORR2D_2,TOPOLOGICAL,0.41066795668861455,0.41066795668861455
MACCS_118,TOPOLOGICAL,0.4077080657230022,0.4077080657230022
AUTOCORR2D_92,TOPOLOGICAL,0.40725940305664715,0.40725940305664715
AUTOCORR2D_66,TOPOLOGICAL,0.4071663228827441,0.4071663228827441
AUTOCORR2D_46,TOPOLOGICAL,0.4038713082600554,0.4038713082600554
num_O,COMPOSITIONAL,0.4033958053178908,0.4033958053178908
AUTOCORR2D_64,TOPOLOGICAL,0.40293288077476164,0.40293288077476164
AUTOCORR2D_167,TOPOLOGICAL,0.40146686188810676,0.40146686188810676
AUTOCORR2D_26,TOPOLOGICAL,0.3968029886289988,0.3968029886289988
Morgan_1019,TOPOLOGICAL,0.39273720863202544,0.39273720863202544
EState_VSA2,PHYSICOCHEMICAL,0.39031408503425397,0.39031408503425397
AUTOCORR2D_25,TOPOLOGICAL,0.38879384160662106,0.38879384160662106
AUTOCORR2D_84,TOPOLOGICAL,0.3861101062325249,0.3861101062325249
AUTOCORR2D_182,TOPOLOGICAL,0.3843419906318153,0.3843419906318153
MACCS_108,TOPOLOGICAL,0.3807149320433916,0.3807149320433916
mose_path4,TOPOLOGICAL,0.37746486728015005,0.37746486728015005
AUTOCORR2D_174,TOPOLOGICAL,0.37635885434485133,0.37635885434485133
MACCS_126,TOPOLOGICAL,0.3753881901892645,0.3753881901892645
AUTOCORR2D_158,TOPOLOGICAL,0.3718940641680799,0.3718940641680799
Morgan_36,TOPOLOGICAL,0.37185359505993726,0.37185359505993726
Morgan_695,TOPOLOGICAL,0.3712144361211181,0.3712144361211181
AUTOCORR2D_75,TOPOLOGICAL,0.36745869912654044,0.36745869912654044
MACCS_66,TOPOLOGICAL,0.36552254061125594,0.36552254061125594
MACCS_153,TOPOLOGICAL,0.365291719350888,0.365291719350888
MACCS_109,TOPOLOGICAL,0.36308330591266574,0.36308330591266574
AUTOCORR2D_150,TOPOLOGICAL,0.3614470786198929,0.3614470786198929
EState_VSA10,PHYSICOCHEMICAL,0.3594263116666303,0.3594263116666303
PEOE_VSA14,PHYSICOCHEMICAL,0.35858033651679233,0.35858033651679233
AUTOCORR2D_74,TOPOLOGICAL,0.3584016975996156,0.3584016975996156
PEOE_VSA1,PHYSICOCHEMICAL,0.3574997838400189,0.3574997838400189
AUTOCORR2D_53,TOPOLOGICAL,0.35708578379973366,0.35708578379973366
AUTOCORR2D_59,TOPOLOGICAL,0.35548743557389495,0.35548743557389495
mose_branched_4,TOPOLOGICAL,0.3552240190435478,0.3552240190435478
MACCS_157,TOPOLOGICAL,0.35417783612016107,0.35417783612016107
AUTOCORR2D_166,TOPOLOGICAL,0.3530746883361761,0.3530746883361761
AUTOCORR2D_91,TOPOLOGICAL,0.3499063102725627,0.3499063102725627
MACCS_116,TOPOLOGICAL,0.3453134718144918,0.3453134718144918
AUTOCORR2D_190,TOPOLOGICAL,0.34464731971255763,0.34464731971255763
AUTOCORR2D_90,TOPOLOGICAL,0.3425276679799031,0.3425276679799031
MACCS_159,TOPOLOGICAL,0.34092069688305704,0.34092069688305704
MACCS_155,TOPOLOGICAL,0.3408957368518326,0.3408957368518326
AUTOCORR2D_45,TOPOLOGICAL,0.34036391927278625,0.34036391927278625
AUTOCORR2D_58,TOPOLOGICAL,0.34028467058238865,0.34028467058238865
EState_VSA3,PHYSICOCHEMICAL,0.33448926824061803,0.33448926824061803
mose_path5,TOPOLOGICAL,0.33375238970645693,0.33375238970645693
MACCS_146,TOPOLOGICAL,0.3317816514063617,0.3317816514063617
Morgan_926,TOPOLOGICAL,0.32947507912903107,0.32947507912903107
NumHeteroatoms,COMPOSITIONAL,0.3242584097334534,0.3242584097334534
MinAbsPartialCharge,PHYSICOCHEMICAL,0.3222059358863837,0.3222059358863837
NumSaturatedHeterocycles,COMPOSITIONAL,0.31947684709903107,0.31947684709903107
NumSaturatedCarbocycles,COMPOSITIONAL,0.31877767109051175,0.31877767109051175
MACCS_140,TOPOLOGICAL,0.3186635964546981,0.3186635964546981
Morgan_80,TOPOLOGICAL,0.3166358741836507,0.3166358741836507
MACCS_115,TOPOLOGICAL,0.3160057905510794,0.3160057905510794
AUTOCORR2D_83,TOPOLOGICAL,0.3134838562553322,0.3134838562553322
AUTOCORR2D_44,TOPOLOGICAL,0.3110122997152558,0.3110122997152558
Morgan_807,TOPOLOGICAL,0.31070777607045946,0.31070777607045946
AUTOCORR2D_181,TOPOLOGICAL,0.3106508117099425,0.3106508117099425
MaxPartialCharge,PHYSICOCHEMICAL,0.30840902357133565,0.30840902357133565
MACCS_91,TOPOLOGICAL,0.3075423155500868,0.3075423155500868
AUTOCORR2D_73,TOPOLOGICAL,0.30610696216979255,0.30610696216979255
NumAliphaticCarbocycles,COMPOSITIONAL,0.30430208076248394,0.30430208076248394
EState_VSA1,PHYSICOCHEMICAL,0.29977871138309303,0.29977871138309303
NOCount,COMPOSITIONAL,0.2995209715890776,0.2995209715890776
AUTOCORR2D_57,TOPOLOGICAL,0.29921371056569207,0.29921371056569207
AUTOCORR2D_52,TOPOLOGICAL,0.2970996294379714,0.2970996294379714
NumAliphaticHeterocycles,COMPOSITIONAL,0.2969112088990806,0.2969112088990806
fr_unbrch_alkane,COMPOSITIONAL,0.29315108860906547,0.29315108860906547
NumHAcceptors,COMPOSITIONAL,0.2930619170553236,0.2930619170553236
fr_amide,COMPOSITIONAL,0.2927769973055604,0.2927769973055604
AUTOCORR2D_157,TOPOLOGICAL,0.29051568850615894,0.29051568850615894
MACCS_90,TOPOLOGICAL,0.2898857958531339,0.2898857958531339
AUTOCORR2D_173,TOPOLOGICAL,0.2889927498383481,0.2889927498383481
AUTOCORR2D_89,TOPOLOGICAL,0.28814657676406147,0.28814657676406147
mose_cyc6,TOPOLOGICAL,0.28237649021468014,0.28237649021468014
Morgan_650,TOPOLOGICAL,0.2818942532459095,0.2818942532459095
MACCS_136,TOPOLOGICAL,0.2798127339447928,0.2798127339447928
MACCS_138,TOPOLOGICAL,0.2797204796237032,0.2797204796237032
Morgan_887,TOPOLOGICAL,0.2793182735136298,0.2793182735136298
AUTOCORR2D_82,TOPOLOGICAL,0.2778146500056207,0.2778146500056207
Morgan_147,TOPOLOGICAL,0.2761546667863323,0.2761546667863323
mose_star_5,TOPOLOGICAL,0.2744694583985064,0.2744694583985064
MinAbsEStateIndex,PHYSICOCHEMICAL,-0.27244405881528655,0.27244405881528655
Morgan_301,TOPOLOGICAL,0.2701845513713702,0.2701845513713702
TPSA,PHYSICOCHEMICAL,0.2690773824532211,0.2690773824532211
MACCS_164,TOPOLOGICAL,0.26879668465040574,0.26879668465040574
MinEStateIndex,PHYSICOCHEMICAL,-0.2662651472533396,0.2662651472533396
AUTOCORR2D_165,TOPOLOGICAL,0.26194507865968714,0.26194507865968714
mose_cyc5,TOPOLOGICAL,0.2609823722303181,0.2609823722303181
AUTOCORR2D_149,TOPOLOGICAL,0.26087388962194646,0.26087388962194646
MACCS_72,TOPOLOGICAL,0.2602594522598491,0.2602594522598491
MACCS_104,TOPOLOGICAL,0.2550247287673697,0.2550247287673697
MACCS_112,TOPOLOGICAL,0.2532173474265869,0.2532173474265869
abraham_S,PHYSICOCHEMICAL,0.2530925121138901,0.2530925121138901
AUTOCORR2D_81,TOPOLOGICAL,0.2517191388820907,0.2517191388820907
MACCS_162,TOPOLOGICAL,-0.24807038058283568,0.24807038058283568
PEOE_VSA9,PHYSICOCHEMICAL,0.24713767067110193,0.24713767067110193
Morgan_138,TOPOLOGICAL,0.24306563474362183,0.24306563474362183
AUTOCORR2D_43,TOPOLOGICAL,0.24165142472271373,0.24165142472271373
fr_aryl_methyl,COMPOSITIONAL,-0.2401072238664687,0.2401072238664687
PEOE_VSA10,PHYSICOCHEMICAL,0.23730787533809877,0.23730787533809877
Morgan_540,TOPOLOGICAL,0.23562608340953833,0.23562608340953833
Morgan_362,TOPOLOGICAL,0.23542292148322153,0.23542292148322153
Morgan_13,TOPOLOGICAL,0.23369472091322518,0.23369472091322518
AUTOCORR2D_137,TOPOLOGICAL,0.23356918710956065,0.23356918710956065
NumAromaticRings,COMPOSITIONAL,-0.23144413523043192,0.23144413523043192
AUTOCORR2D_160,TOPOLOGICAL,0.229167615812605,0.229167615812605
Morgan_591,TOPOLOGICAL,0.2277079991557973,0.2277079991557973
PEOE_VSA2,PHYSICOCHEMICAL,0.2259423523164703,0.2259423523164703
MinPartialCharge,PHYSICOCHEMICAL,-0.22282116732201585,0.22282116732201585
Morgan_243,TOPOLOGICAL,0.22275814751568615,0.22275814751568615
Morgan_794,TOPOLOGICAL,0.22231315965528042,0.22231315965528042
MACCS_26,TOPOLOGICAL,0.22179710052966267,0.22179710052966267
AUTOCORR2D_56,TOPOLOGICAL,0.2185256077624282,0.2185256077624282
MaxAbsPartialCharge,PHYSICOCHEMICAL,0.21836738397480798,0.21836738397480798
Morgan_519,TOPOLOGICAL,0.21732938170219288,0.21732938170219288
AUTOCORR2D_51,TOPOLOGICAL,0.21672939980676778,0.21672939980676778
EState_VSA4,PHYSICOCHEMICAL,0.2146055697741117,0.2146055697741117
AUTOCORR2D_72,TOPOLOGICAL,0.214034147139947,0.214034147139947
BertzCT,TOPOLOGICAL,0.21322216353637946,0.21322216353637946
BalabanJ,TOPOLOGICAL,-0.20847304226127342,0.20847304226127342
MACCS_111,TOPOLOGICAL,0.20846410294419085,0.20846410294419085
Morgan_119,TOPOLOGICAL,0.20839319647840354,0.20839319647840354
AUTOCORR2D_189,TOPOLOGICAL,0.20718624770777075,0.20718624770777075
AUTOCORR2D_185,TOPOLOGICAL,-0.2049965482237892,0.2049965482237892
MACCS_102,TOPOLOGICAL,-0.2049328003119303,0.2049328003119303
PEOE_VSA6,PHYSICOCHEMICAL,0.203706581594867,0.203706581594867
PEOE_VSA7,PHYSICOCHEMICAL,0.20071122477970663,0.20071122477970663
AUTOCORR2D_88,TOPOLOGICAL,0.2003919174798647,0.2003919174798647
AUTOCORR2D_96,TOPOLOGICAL,-0.2002356692079876,0.2002356692079876
EState_VSA9,PHYSICOCHEMICAL,0.1995974798043265,0.1995974798043265
MACCS_124,TOPOLOGICAL,-0.19935848742914605,0.19935848742914605
MACCS_149,TOPOLOGICAL,0.19929194704094522,0.19929194704094522
Morgan_710,TOPOLOGICAL,0.19643581512908903,0.19643581512908903
NumAromaticHeterocycles,COMPOSITIONAL,-0.19543014596600475,0.19543014596600475
MACCS_130,TOPOLOGICAL,-0.1948300396386267,0.1948300396386267
MACCS_89,TOPOLOGICAL,0.1936151870038311,0.1936151870038311
Morgan_726,TOPOLOGICAL,-0.18989431873433577,0.18989431873433577
