Compositional_Feature,Best_Correlated,Category,Correlation,Abs_Corr
fr_piperzine,MACCS_79,TOPOLOGICAL,0.23090574986593143,0.23090574986593143
fr_quatN,MACCS_30,TOPOLOGICAL,0.19641215654517685,0.19641215654517685
fr_diazo,Morgan_995,TOPOLOGICAL,0.15972083874384563,0.15972083874384563
fr_HOCCN,Morgan_483,TOPOLOGICAL,0.125067457208343,0.125067457208343
fr_thiocyan,MACCS_41,TOPOLOGICAL,0.1205409917361755,0.1205409917361755
fr_prisulfonamd,,,0.0,0.0
num_Li,,,0.0,0.0
num_K,,,0.0,0.0
num_Na,,,0.0,0.0
fr_dihydropyridine,,,0.0,0.0
