Experiment,Seed,R2,RMSE
FULL MODEL,101,0.8639258469260753,0.8112925644902284
FULL MODEL (filtered),101,0.8593833031741756,0.8247230289392089
ONLY: PHYSICOCHEMICAL (filtered),101,0.855405934395136,0.836305417798039
