Experiment,R2,RMSE
FULL MODEL (Original),0.8577192049034249,0.8295886801868526
REMOVE: COMPOSITIONAL,0.8571170054421984,0.8313424318415397
REMOVE: TOPOLOGICAL,0.8586545118370034,0.8268574633240707
REMOVE: ENERGETIC,0.8594841195378112,0.8244273297548573
REMOVE: PHYSICOCHEMICAL,0.8444936396777891,0.8672888319855236
ONLY: COMPOSITIONAL,0.8278036100513475,0.9126446176534119
ONLY: TOPOLOGICAL,0.8267341665245254,0.9154742679884834
ONLY: ENERGETIC,0.2119442055055496,1.9523971231784683
ONLY: PHYSICOCHEMICAL,0.8541134851999588,0.8400347466507213
