iter	Passed	Remaining
399	46198	300293
400	46286	299997
401	46386	299778
402	46485	299560
403	46594	299406
404	46708	299280
405	46849	299331
406	46966	299225
407	47082	299114
408	47185	298916
409	47311	298871
410	47430	298776
411	47564	298776
412	47671	298608
413	47799	298575
414	47894	298327
415	48004	298180
416	48099	297939
417	48215	297826
418	48329	297707
419	48444	297588
420	48549	297411
421	48655	297234
422	48761	297067
423	48887	297015
424	49002	296897
425	49104	296704
426	49199	296465
427	49313	296339
428	49430	296235
429	49539	296083
430	49656	295977
431	49770	295859
432	49934	296031
433	50050	295920
434	50171	295836
435	50292	295757
436	50413	295674
437	50558	295732
438	50647	295464
439	50743	295235
440	50850	295072
441	50944	294834
442	51041	294610
443	51162	294532
444	51246	294237
445	51349	294048
446	51479	294021
447	51607	293979
448	51720	293852
449	51831	293713
450	51977	293771
451	52112	293767
452	52226	293644
453	52349	293572
454	52467	293471
455	52575	293318
456	52698	293244
457	52805	293084
458	52907	292892
459	53020	292768
460	53123	292580
461	53233	292437
462	53361	292395
463	53480	292301
464	53593	292170
465	53718	292110
466	53824	291940
467	53946	291866
468	54055	291717
469	54171	291602
470	54305	291588
471	54422	291483
472	54596	291681
473	54738	291709
474	54843	291535
475	54926	291246
476	55026	291054
477	55116	290800
478	55283	290961
479	55561	291699
480	55688	291639
481	55867	291855
482	56001	291831
483	56189	292091
484	56323	292069
485	56441	291961
486	56539	291750
487	56631	291514
488	56728	291299
489	56808	291000
490	56900	290761
491	56997	290549
492	57096	290345
493	57182	290079
494	57263	289787
495	57363	289593
496	57474	289454
497	57636	289572
498	57755	289474
499	57838	289193
500	57932	288970
501	58026	288746
502	58223	289035
503	58344	288945
504	58404	288551
505	58473	288205
506	58614	288214
507	58797	288430
508	58899	288247
509	59002	288072
510	59124	287984
511	59208	287717
512	59317	287570
513	59435	287465
514	59565	287417
515	59689	287340
516	59803	287218
517	59923	287124
518	60024	286938
519	60141	286830
520	60279	286820
521	60387	286667
522	60513	286600
523	60608	286386
524	60861	286920
525	61010	286958
526	61141	286914
527	61245	286740
528	61357	286603
529	61469	286471
530	61586	286357
531	61712	286289
532	61845	286252
533	61971	286181
534	62074	286007
535	62188	285882
536	62309	285787
537	62425	285670
538	62552	285607
539	62666	285482
540	62774	285328
541	62883	285181
542	63006	285095
543	63140	285059
544	63267	284993
545	63389	284904
546	63533	284913
547	63681	284941
548	64030	285861
549	64354	286670
550	64532	286824
551	64767	287228
552	64919	287264
553	65044	287180
554	65174	287119
555	65348	287250
556	65497	287272
557	65599	287084
558	65701	286898
559	65804	286721
560	65907	286539
561	65996	286299
562	66124	286226
563	66237	286088
564	66360	285994
565	66473	285857
566	66579	285694
567	66730	285720
568	66854	285630
569	66965	285484
570	67057	285256
571	67163	285091
572	67329	285181
573	67469	285160
574	67601	285101
575	67909	285786
576	68104	285992
577	68238	285941
578	68374	285896
579	68487	285759
580	68621	285707
581	68758	285667
582	68883	285577
583	68992	285422
584	69120	285342
585	69431	286018
586	69541	285865
587	69667	285780
588	69786	285660
589	69901	285531
590	70015	285394
591	70134	285275
592	70275	285251
593	70400	285155
594	70535	285106
595	70655	284992
596	70822	285070
597	70934	284923
598	71039	284752
599	71160	284643
600	71268	284480
601	71388	284368
602	71628	284731
603	71717	284495
604	71802	284243
605	71938	284194
606	72022	283936
607	72102	283664
608	72185	283408
609	72286	283220
610	72387	283034
611	72487	282843
612	72595	282682
613	72690	282473
614	72790	282284
615	72879	282054
616	72973	281841
617	73054	281580
618	73141	281341
619	73240	281147
620	73325	280905
621	73413	280669
622	73501	280439
623	73590	280211
624	73677	279975
625	73792	279845
626	73880	279615
627	73976	279414
628	74070	279205
629	74166	279009
630	74266	278823
631	74366	278637
632	74455	278413
633	74602	278407
634	74689	278175
635	74774	277933
636	74878	277769
637	74987	277617
638	75083	277421
639	75192	277270
640	75292	277092
641	75390	276902
642	75494	276735
643	75585	276521
644	75686	276342
645	75780	276141
646	75874	275939
647	75975	275762
648	76061	275533
649	76144	275293
650	76256	275156
651	76357	274980
652	76462	274821
653	76559	274632
654	76652	274429
655	76741	274210
656	76826	273980
657	76917	273768
658	77007	273557
659	77087	273311
660	77171	273078
661	77274	272913
662	77356	272673
663	77441	272445
664	77526	272216
665	77630	272057
666	77714	271824
667	77805	271621
668	77902	271436
669	77984	271199
670	78075	270996
671	78167	270794
672	78261	270600
673	78353	270401
674	78438	270176
675	78529	269974
676	78618	269765
677	78721	269604
678	78815	269410
679	78913	269234
680	79009	269050
681	79107	268874
682	79194	268658
683	79291	268478
684	79397	268328
685	79489	268130
686	79590	267964
687	79686	267782
688	79790	267627
689	79890	267460
690	79976	267245
691	80064	267037
692	80155	266839
693	80241	266625
694	80328	266414
695	80416	266204
696	80519	266050
697	80614	265866
698	80718	265711
699	80804	265500
700	80889	265283
701	80978	265083
702	81068	264883
703	81155	264677
704	81231	264435
705	81342	264304
706	81462	264207
707	81639	264292
708	81767	264216
709	81886	264113
710	82003	264004
711	82118	263885
712	82243	263802
713	82369	263721
714	82496	263643
715	82615	263540
