iter	Passed	Remaining
428	1750	6411
429	1754	6406
430	1758	6401
431	1761	6394
432	1765	6388
433	1769	6383
434	1773	6379
435	1777	6375
436	1781	6371
437	1785	6366
438	1788	6361
439	1792	6355
440	1797	6352
441	1800	6346
442	1804	6341
443	1807	6335
444	1812	6332
445	1815	6327
446	1820	6323
447	1823	6317
448	1827	6311
449	1830	6304
450	1834	6299
451	1837	6294
452	1841	6288
453	1845	6283
454	1848	6276
455	1852	6270
456	1855	6265
457	1859	6261
458	1863	6257
459	1867	6252
460	1871	6248
461	1875	6243
462	1879	6238
463	1882	6232
464	1886	6227
465	1890	6222
466	1894	6218
467	1897	6212
468	1901	6207
469	1905	6202
470	1908	6197
471	1912	6191
472	1916	6185
473	1919	6180
474	1923	6174
475	1927	6172
476	1931	6166
477	1935	6161
478	1938	6155
479	1941	6149
480	1945	6144
481	1949	6139
482	1953	6134
483	1956	6128
484	1960	6123
485	1963	6117
486	1967	6112
487	1970	6106
488	1974	6101
489	1978	6096
490	1981	6089
491	1985	6084
492	1988	6078
493	1992	6073
494	1995	6068
495	2000	6064
496	2003	6059
497	2006	6053
498	2011	6049
499	2014	6044
500	2018	6038
501	2021	6033
502	2026	6029
503	2029	6024
504	2033	6019
505	2037	6015
506	2041	6011
507	2045	6006
508	2048	6001
509	2052	5996
510	2056	5991
511	2060	5987
512	2063	5982
513	2067	5976
514	2071	5973
515	2075	5968
516	2079	5964
517	2082	5958
518	2086	5953
519	2090	5948
520	2093	5943
521	2097	5938
522	2101	5933
523	2104	5928
524	2108	5923
525	2112	5918
526	2115	5913
527	2119	5908
528	2122	5903
529	2126	5898
530	2130	5892
531	2133	5888
532	2137	5882
533	2141	5878
534	2144	5872
535	2148	5867
536	2151	5862
537	2155	5857
538	2159	5852
539	2162	5846
540	2166	5841
541	2169	5836
542	2173	5832
543	2177	5827
544	2180	5822
545	2184	5817
546	2188	5812
547	2192	5809
548	2195	5803
549	2199	5799
550	2203	5794
551	2207	5789
552	2210	5784
553	2214	5780
554	2218	5775
555	2221	5769
556	2225	5765
557	2228	5760
558	2233	5757
559	2236	5752
560	2240	5747
561	2244	5743
562	2248	5738
563	2252	5734
564	2256	5730
565	2259	5725
566	2263	5720
567	2266	5714
568	2270	5709
569	2273	5704
570	2277	5699
571	2280	5694
572	2284	5689
573	2288	5684
574	2291	5679
575	2295	5674
576	2299	5669
577	2302	5664
578	2305	5659
579	2309	5653
580	2312	5648
581	2316	5644
582	2319	5638
583	2323	5634
584	2327	5628
585	2330	5624
586	2334	5619
587	2338	5614
588	2341	5609
589	2345	5604
590	2349	5600
591	2352	5594
592	2356	5590
593	2359	5584
594	2363	5580
595	2366	5575
596	2370	5570
597	2374	5565
598	2377	5561
599	2381	5556
600	2385	5551
601	2389	5549
602	2393	5544
603	2396	5538
604	2399	5533
605	2403	5528
606	2407	5523
607	2410	5519
608	2414	5514
609	2418	5510
610	2421	5505
611	2425	5500
612	2429	5496
613	2432	5491
614	2436	5486
615	2440	5482
616	2443	5477
617	2447	5473
618	2451	5468
619	2454	5463
620	2458	5458
621	2462	5454
622	2465	5450
623	2469	5446
624	2473	5441
625	2477	5437
626	2480	5432
627	2484	5428
628	2488	5424
629	2492	5419
630	2495	5414
631	2499	5409
632	2503	5406
633	2507	5402
634	2510	5397
635	2514	5393
636	2518	5389
637	2522	5384
638	2526	5380
639	2530	5377
640	2534	5372
641	2537	5368
642	2541	5364
643	2545	5359
644	2548	5354
645	2552	5350
646	2555	5345
647	2559	5340
648	2563	5335
649	2566	5331
650	2570	5326
651	2574	5322
652	2577	5317
653	2581	5313
654	2585	5309
655	2589	5304
656	2592	5299
657	2596	5295
658	2600	5291
659	2603	5286
660	2607	5281
661	2611	5277
662	2614	5272
663	2618	5267
664	2621	5262
665	2624	5257
666	2628	5253
667	2632	5248
668	2635	5244
669	2639	5239
670	2642	5234
671	2646	5229
672	2649	5225
673	2653	5220
674	2657	5215
675	2660	5211
676	2664	5206
677	2668	5202
678	2671	5197
679	2675	5193
680	2679	5189
681	2683	5186
682	2687	5181
683	2690	5176
684	2694	5171
685	2697	5167
686	2701	5162
687	2704	5158
688	2708	5153
689	2712	5149
690	2716	5145
691	2719	5140
692	2722	5135
693	2726	5130
694	2730	5127
695	2734	5123
696	2739	5120
697	2743	5117
698	2747	5114
699	2751	5110
700	2755	5106
701	2759	5102
702	2764	5099
703	2767	5095
704	2772	5092
705	2776	5088
706	2779	5084
707	2784	5080
708	2787	5076
709	2791	5071
710	2794	5067
711	2798	5062
712	2802	5057
713	2805	5053
714	2809	5048
715	2813	5044
716	2816	5040
717	2820	5036
718	2824	5031
719	2827	5026
720	2831	5022
721	2835	5018
722	2838	5014
723	2842	5009
724	2845	5005
725	2849	5000
726	2853	4995
727	2856	4991
728	2860	4986
729	2864	4982
730	2867	4978
731	2871	4974
732	2875	4969
733	2878	4965
734	2882	4960
735	2885	4955
736	2889	4951
737	2892	4946
738	2896	4941
739	2899	4936
740	2902	4932
741	2906	4927
742	2910	4924
743	2914	4919
744	2917	4915
745	2921	4910
746	2924	4905
747	2928	4902
748	2932	4897
749	2935	4892
750	2939	4888
751	2943	4884
752	2946	4879
753	2950	4875
754	2954	4871
755	2957	4867
756	2961	4862
757	2964	4857
758	2968	4853
759	2971	4848
760	2975	4844
761	2979	4840
762	2983	4836
763	2986	4831
764	2990	4827
765	2994	4824
766	2998	4820
767	3001	4815
768	3005	4811
769	3009	4807
770	3012	4802
771	3016	4798
772	3020	4795
773	3024	4790
774	3028	4786
775	3032	4782
776	3035	4778
777	3039	4774
778	3043	4770
779	3047	4766
780	3051	4762
781	3055	4758
782	3059	4755
783	3063	4751
784	3066	4746
785	3070	4741
786	3073	4737
787	3077	4733
788	3081	4729
789	3085	4725
