Solute,Solvent,Num_Temps,Temp_Min,Temp_Max,R2_Known_Pred_vs_Exp,RMSE_Known,R2_Synthetic_vs_Apelblat,RMSE_Synthetic,Num_Synthetic_Temps,Holdout_Applicable,R2_Holdout_Interp_Pred_vs_Exp,R2_Holdout_Interp_Pred_vs_Apelblat,R2_Holdout_Extrap_Pred_vs_Exp,R2_Holdout_Extrap_Pred_vs_Apelblat,Exp_R2,Pred_R2,Shape_Correlation,Trend_Score,Category
C=C1CCCC2(C)CC3(O)OC(=O)C(C)=C3CC12,CCCCCC,9,283,323,-33.04404110493303,2.046679774832262,-7.336058516318738,2.1766597737534594,4,True,-238.4254753233356,-238.8210760540732,-13.625313492092916,-14.912643419936222,0.9951322302368097,0.9984981400745566,0.9985795316757291,0.39941553435005717,Poor
C=C1CCCC2(C)CC3(O)OC(=O)C(C)=C3CC12,CCOCC,5,283,303,-17.914728698630313,0.815207649899948,-2.780999720336803,0.9131818541984896,4,False,,,,,0.9947323627061072,0.9990295283809635,0.9993785713471066,0.399681619945614,Poor
C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,COC(C)(C)C,10,278,323,-105.80211988585995,1.2102923449729581,-23.05663728565406,1.1987013036293759,4,True,-921.460076586381,-861.3675703712001,-41.55444067048893,-43.087617496661025,0.9988254980360327,0.9990834627163631,0.999698096752566,0.3997563118937858,Poor
C=CC(=O)NC(C)(C)C,CC(=O)N(C)C,13,293,353,-2.607452610033569,0.42847480530389115,-0.5870133047107757,0.5651036099334233,4,True,-11.863458677901455,-14.402268339750968,-1.2540439365404845,-0.9444460421277163,0.9968172492202697,0.9734553140152921,0.9865157701602191,0.39199421683510227,Poor
C=CC(=O)NC(C)(C)C,ClCCl,11,279,304,-0.4401446255749404,0.16296479043591044,0.8213642326359434,0.15703080830971236,4,True,-7.631600117385711,-5.861632593024159,0.514155332069996,0.5153784514379239,0.9988191899963023,0.9797894980977289,0.9986085041587883,0.6420888702420865,Poor
C=CC(=O)NC(C)(C)C,NC=O,14,284,350,-1.0807977468307737,0.5632371259421294,0.3062576075830058,0.6206442047131783,6,True,-7.714915007713358,-9.05575036665983,0.13152075489012738,0.12492882931145033,0.9988748996586345,0.954453169846585,0.9896399855892237,0.4806959133620635,Poor
C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCCCCCO,10,283,328,0.8473402241236367,0.07859550088964919,0.9865747655809192,0.04847542325821372,4,True,-0.025467408238653455,0.18224341295889745,0.9461520769825987,0.9231999891630671,0.9968100201731588,0.9982181134018222,0.9999620685764502,0.9498105333070213,Good
C=CC(=O)NC(C)(C)CS(=O)(=O)O,OCCO,10,283,328,0.6911808154286798,0.23469263181441738,0.5925165114224209,0.5690930128157121,4,True,0.6035730450811723,0.7082599871112595,0.6779887330646495,0.6645010559741534,0.9981094028824886,0.9922422962895383,0.9997000855243401,0.7834976744181059,Moderate
C=CC(=O)Nc1cc(F)c(Br)c(F)c1,c1ccccc1,10,296,347,0.6494608039128204,0.20284721930186833,0.6567651789060587,0.36042572100040876,7,True,-1.0572900523372812,-1.148778158098105,0.7240625525494042,0.7503788528618265,0.9988303256000101,0.9705447601878534,0.9959573019859429,0.785168207280423,Moderate
C=CC(=O)Nc1cc(F)c(Br)c(F)c1,c1ccncc1,12,289,349,-104.87984685036066,0.8823133716028058,-42.89447570314294,0.9795500232327727,5,True,-423.48596406240614,-432.68483298850794,-52.656606482392945,-53.132423055878306,0.9998318133802114,0.9642475854737622,0.9930089151543611,0.3914513001256247,Poor
