Solute,Solvent,Num_Temps,Temp_Min,Temp_Max,R2_Known_Pred_vs_Exp,RMSE_Known,R2_Synthetic_vs_Apelblat,RMSE_Synthetic,Num_Synthetic_Temps,Holdout_Applicable,R2_Holdout_Interp_Pred_vs_Exp,R2_Holdout_Interp_Pred_vs_Apelblat,R2_Holdout_Extrap_Pred_vs_Exp,R2_Holdout_Extrap_Pred_vs_Apelblat,Exp_R2,Pred_R2,Shape_Correlation,Trend_Score,Category
O=C(O)c1ccc(C(=O)O)o1,CC(=O)CC(C)C,11,313,363,-1.2029530328399982,0.35528863569769625,-0.013345539927420713,0.4971300302639349,4,True,-3.5109578852089482,-6.2743919715295355,-0.3891666173745134,-0.31761433427712893,0.9877924838973084,0.9408909483542318,0.9818925063495365,0.3845566909407537,Poor
O=P1(Oc2ccccc2)OCC2(CO1)COP(=O)(Oc1ccccc1)OC2,CCOCCO,16,293,368,-2.0969482189880524,0.5165841785839252,-0.35047829981823675,0.6713384440434181,4,True,-9.9048409428467,-10.07470635710577,-0.7155311766631456,-0.6931475442017749,0.9998566110451056,0.9328212825195819,0.9883246096213476,0.38422917842818594,Poor
N=C(N)C([N+](=O)[O-])=[N+]([O-])O,O=C1CCCO1,10,300,369,-40.045427570219246,1.46683574133171,-19.86118087873443,1.47638321601185,11,True,-591.6776018987072,-679.1021087643853,-15.143534309483432,-15.553618071946534,0.9962294566233146,0.95504435544191,0.9654768224950993,0.3841042355874019,Poor
Oc1cccc(C=NNC(=S)NC2CCCCC2)c1,OCCO,5,298,338,-7.590107992316087,0.3953830682431769,-2.193955939789902,0.3577894764696528,8,False,,,,,0.9989617963917595,0.9279921753298321,0.9921048567641702,0.3840194064188005,Poor
CC(C)COc1ccc(B(O)O)cc1,CC1CCCCC1,8,319,351,-1.6044782208924748,0.8482303135186509,-0.4682280800037135,1.2315010053328248,6,True,-7.8084672696437725,-14.07101560195407,-0.5243512865995898,-0.6245600061721039,0.9796710283414033,0.9222629367491173,0.9947016888070124,0.38339292511122597,Poor
CC(C)COc1ccccc1B(O)O,CCCOCCC,17,294,353,-10.214186032917176,0.7160406081543133,-2.120729386481245,0.8073943244683168,4,True,-72.67600241453789,-76.53588394328874,-3.718297484945391,-3.3064773855954463,0.9989500714058414,0.9274114064229637,0.9890994387420002,0.38330216903299286,Poor
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,O=C1CCCO1,13,298,358,-101.05105035929867,0.8561104651675883,-31.185977629303522,0.9663072391446066,4,True,-632.9262923510655,-588.5715149448645,-43.02927584626675,-47.433609435408,0.9967467435117845,0.9251769804337004,0.9864921855946738,0.3823338332056749,Poor
O=C(O)c1cccc(C(=O)O)c1,CCCOC(C)=O,7,303,363,-32.52191600846021,0.7538345122080772,-16.112532507720452,0.7231496280525791,10,True,-394.63792884860914,-756.0726265784248,-11.036589185326479,-12.902344500462112,0.9859080808580547,0.943284971285914,0.9682475579794274,0.38230650585306836,Poor
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,CC1COC(=O)O1,13,298,358,-31.65244656498043,0.7670149582789817,-9.191957133256015,0.8660842476581242,4,True,-190.98286489590689,-179.34649159449734,-13.470233995908929,-14.370792464092197,0.9972660012457338,0.9160628040029575,0.9919933837220707,0.38161123754500564,Poor
N=C(N)C([N+](=O)[O-])=[N+]([O-])O,CCN(C=O)CC,6,298,367,-65.78807133533367,0.6504069581831563,-50.81407798135329,0.6927313425114998,13,False,,,,,0.9100798704067791,0.951476568257366,0.9511089104721753,0.3805170957459083,Poor
O=C(O)c1ccccc1,CC(=O)N(C)C,10,289,329,-28.300797625223233,0.09367886665762973,-21.229529766805936,0.16555039153959872,5,True,-123.80196539087608,-112.05663310869568,-25.5847122460474,-32.051959345970204,0.9920354560469324,0.9950431210387236,0.8995461517474586,0.3789178545572365,Poor
N=C(N)C([N+](=O)[O-])=[N+]([O-])O,CS(C)=O,18,293,367,-1263.567397915798,1.3720380368265186,-552.0535165607799,1.5149816683316752,6,True,-4215.969164741448,-4385.798466340914,-566.2374352030723,-607.3413457691094,0.9906449230389979,0.9357789432441695,0.9560176937307465,0.37835932739498324,Poor
C(=Cc1ccc(-c2nc3ccccc3o2)cc1)c1ccc(-c2nc3ccccc3o2)cc1,Clc1ccccc1,5,323,383,-41.7494515439924,1.8471509626864049,-29.64610467744417,1.8507432387137186,12,False,,,,,0.9531753462149571,0.946597155017078,0.9293454091717648,0.37518851283776855,Poor
O=C(C(O)CO)C(O)C(O)CO,CCCCCCCCCCO,9,348,392,-21.665675249068727,0.8470204025367475,-6.271575679600194,0.8876907850825345,5,True,-186.20201818823125,-189.60034682026145,-9.271494285715494,-10.454298178671877,0.9965073605633256,0.8524331806792834,0.9982010314082321,0.37012684241750315,Poor
COc1cc(CNC(=O)CCCCCCC(C)C)ccc1O,CCCCC,5,297,302,-1712.4171487695653,1.7780156648065946,-47.75440738770428,1.7805396607264006,4,False,,,,,0.975996607477896,0.8470897408776148,0.9999998357758411,0.3694179153306912,Poor
OCC=Cc1ccccc1,CCCCCC,9,253,293,-3.1121263281828293,0.6241886148987871,-0.9058733385100988,0.9102118523163667,4,True,-16.82249482624098,-19.681604788009764,-1.759959211759572,-1.5210689793346428,0.9873205802193786,0.8585054250411994,0.9803001999501906,0.367761124998278,Poor
CC(C)Cc1ccc(C(C)C(=O)O)cc1,CCCCCC,7,263,293,-3.4407258622758814,0.5932822904825737,-0.051487809656713956,0.6531844480836096,4,True,-39.55109286063664,-53.226984774406816,-1.1146334165225564,-0.883701255407386,0.9980534737777643,0.8270362948538119,0.9976735993252338,0.36494197883580914,Poor
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,ClCC1CO1,9,313,353,-92.07464901474921,0.8207989844137137,-23.25191337578965,0.8856980046350039,4,True,-726.0046947597427,-649.3043693349974,-38.23049952879253,-45.145930082040465,0.9976098189198846,0.8656435664085487,0.9515474600892508,0.36343820529955995,Poor
O=C(C(O)CO)C(O)C(O)CO,CCCCCCCCO,7,345,383,-16.37344995184973,0.6769367583174397,-6.0829044951938664,0.7886746034692618,6,True,-329.5754006459782,-611.7883608189264,-7.084018500133327,-11.023172952667206,0.9882207516307717,0.8858383534688955,0.9219154432842714,0.3615507593506334,Poor
C1N2CN3CN1CN(C2)C3,CC(=O)O,7,305,337,-290437.9957982977,1.1162242462574725,-94716.69635909122,1.16333811636146,6,True,-523133.00122386945,-74063842.53734203,-319205.67731948086,-2924867.823040566,0.6288187387349171,0.9599192897211218,0.5706396499156439,0.30611178792735316,Poor
O=C(C(O)CO)C(O)C(O)CO,CCCCCCCCCCCCO,9,349,393,-56.258964627716786,1.0884128301017202,-14.540700157593053,1.0856283049274047,5,True,-442.15413757762894,-371.9408593832689,-27.105200494882368,-20.027183929563208,0.9778915884835443,0.5273089555692323,0.9999999997409401,0.3054617910620345,Poor
CSCCC(NC(C)=O)C(=O)O,ClCCl,5,283,323,-4.3447944305956545,2.1276961443830182,-6.4986608785180495,2.091691474245954,8,False,,,,,0.3230097284992214,0.9982751862087131,-0.9998538850085459,0.19965503724174263,Poor
O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],CCCCOC(C)=O,9,278,318,-335.9755712202598,0.4676163091379953,-89.27228226961287,0.528134927135073,4,True,-2499.228916726306,-2172.2098016622463,-167.05766784493085,-158.31285193931137,0.999152913915973,0.9978150841362068,-0.980445757692297,0.19956301682724137,Poor
CNC(=O)c1cc(Oc2ccc(N)cc2)ccn1,ClCCl,10,278,323,-0.3431183217552032,0.9730850511828116,-1.6218616827795764,0.9280553267156993,4,True,-1.2855064522267234,-7.435113703453251,-4.727986288740116,-3.227064444835139,0.12388500695012761,0.997706957840226,-0.9991340498733229,0.1995413915680452,Poor
O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],CCOC(OCC)OCC,9,278,318,-38.74669670226232,0.44010534582918864,-12.979121849322905,0.5657830273590055,4,True,-185.97517042855748,-225.8748036739599,-20.96067037965748,-21.80260166039328,0.9992518089287151,0.9973186976649542,-0.9938865141469468,0.19946373953299085,Poor
O=[N+]([O-])c1nonc1-c1no[n+]([O-])c1-c1nonc1[N+](=O)[O-],ClCCl,5,298,318,-0.21236652730470706,0.9890899447447228,-0.4164588505690232,1.470488248945884,4,False,,,,,0.30498979219295197,0.9958876580272893,-0.9997163958721446,0.19917753160545787,Poor
CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl)=C4CC(=O)C5CC5C4(C)C3CCC21C,COC(C)(C)C,10,273,318,-380.85963591896945,0.14839915220980007,-306.18125173429274,0.2771985772552556,4,True,-356.6492533800957,-356.5311045193189,-361.0894009476809,-370.92945586925714,0.9999490345844252,0.9956949273734982,-0.9998820183309344,0.19913898547469966,Poor
CCOc1ccccc1C(N)=O,CCOC=O,9,288,328,-0.3068476811756433,0.7911982512212304,-2.000866409248793,0.7061445521019193,4,True,0.7458829461208891,0.7480083504593582,-2.3814243064027725,0.8486615567078237,0.08990608059393246,0.9930061352319902,-0.996292152210166,0.19860122704639804,Poor
O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],O=C1CCCCC1,11,283,333,-41209.65454515002,0.7560267753490453,-11995.77447865116,0.8193001446830303,4,True,-101703.40304623533,-144246.13007294954,-19603.895073324384,-18201.074921126565,0.9956775604785776,0.9915691038223539,-0.991446228088882,0.1983138207644708,Poor
O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],CN1CCCC1=O,11,283,333,-5535.955297473212,0.7560990570032621,-1586.3749449242498,0.833096443068628,4,True,-18513.94891024078,-21454.648624814083,-2435.7015926999406,-2567.4917533823545,0.998731134128989,0.9902825867088751,-0.9975596443764699,0.19805651734177504,Poor
COC(O)=c1cc(O)c(=C(O)OC)cc1O,COC(=O)CCC(=O)OC,10,296,326,-1.1376896266718801,1.6041965887410214,-0.3900522056838083,2.528342798392478,4,True,-0.542760626816476,-9.253308951272393,-1.0398627642383875,-0.6125623670915212,0.7145978013590562,0.9863683125473206,-0.9997280700951646,0.19727366250946413,Poor
O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1,ClCCl,12,294,314,-0.33518590126758063,0.7915109725221098,-1.461467959057683,0.9105687775260114,4,True,-219.1703975149328,-317.38725777993375,-0.7078915372797632,-17.659411461483064,0.09974086878304222,0.9794230914112135,-0.9999752847295312,0.1958846182822427,Poor
COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)=CC(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,ClCCl,11,295,345,-0.8199176602738178,1.5755666392618677,-0.26166841288868325,2.2468760423677363,4,True,-3197.2985275485266,-4.387750580460821,-0.4209452435634935,-0.2281928954868977,0.6852361305860437,0.9359897416904014,-0.9692877122762767,0.1871979483380803,Poor
