Solute,Solvent,Num_Temps,RMSE_Known,RMSE_Synthetic,R2_Known,R2_Synthetic,R2_Holdout_Interp,R2_Holdout_Extrap
CC(=O)Nc1ccc(C(=O)O)cc1,CCC(C)O,9,0.12942434762461946,0.09379670094512424,0.22644107441210648,0.912232241323155,-1.0,0.7122425000929813
CC(=O)Nc1ccc(O)cc1,CCOCCOCCO,8,0.29241207417826676,0.37785853382520346,-1.0,-1.0,-1.0,-1.0
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(,CCCCCOC(C)=O,9,0.35794493338946815,0.4059365511497041,-1.0,0.3470998162596671,-1.0,-0.02080907455234038
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(,CN1CCCC1=O,9,0.5348510146389788,0.4831260380012184,-1.0,-1.0,-1.0,-1.0
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(,CS(C)=O,7,1.134624601484588,1.158446981361458,-1.0,-1.0,-1.0,-1.0
CC(=O)Nc1ccccc1[N+](=O)[O-],CCCCCCCO,10,0.3631899670465019,0.435505791067904,-0.868163744853842,0.3796397236539576,-1.0,0.25294339053050463
CC(=O)Nc1ccccc1[N+](=O)[O-],CN1CCCC1=O,10,0.14377612849005877,0.12155366479988826,-0.31985109034808756,0.7861227773884285,-1.0,0.45847112242123067
CC(=O)Nc1ccccc1[N+](=O)[O-],OCCO,10,0.5331042737057035,0.5329246937871365,-1.0,-0.33276546707468335,-1.0,-1.0
CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl),COC(C)(C)C,10,0.14839915220980007,0.2771985772552556,-1.0,-1.0,-1.0,-1.0
CC(=O)OCC(=O)C1(O)CCC2C3CC=C4C,ClCCCl,10,0.3091118519778397,0.3208139667266597,-1.0,0.27244758664551627,-1.0,-0.10425969598516693
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)c,CN1CCCC1=O,9,0.12689500448950786,0.17722490183724687,-0.016818609773697757,0.5630592375064907,-1.0,0.48898327734668456
CC(=O)Oc1ccc(C2CC(=O)c3c(OC(C),CCC(C)O,5,0.42444809547092865,0.4612876371023225,-1.0,-0.4722648407480661,,
CC(=O)Oc1ccc(C2CC(=O)c3c(OC(C),CCCCCCO,5,1.6225337564896471,1.6346781692316772,-1.0,-1.0,,
CC(=O)Oc1ccc(C2CC(=O)c3c(OC(C),CCCCOCCO,5,0.21682650744139606,0.23013427518030868,-0.13857796774231756,0.4154181901660233,,
CC(=O)Oc1ccc(C2CC(=O)c3c(OC(C),CCCOCCO,5,0.1836555135201709,0.1725141157202564,-1.0,0.11771528732740832,,
CC(=O)Oc1ccc(C2CC(=O)c3c(OC(C),COCCO,5,0.4624089271335655,0.46863366046462795,-1.0,-1.0,,
CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+,CN1CCCC1=O,9,0.5317304156685785,0.5138507781524012,-1.0,-1.0,-1.0,-1.0
CC(=O)Oc1ccccc1C(=O)O,CC(=O)CC(C)C,9,0.2091392700871741,0.22583633327159422,-0.04951120264940356,0.6129865619261816,-1.0,0.597184200412207
CC(=O)Oc1ccccc1C(=O)O,CC(=O)OCC(C)C,9,0.34250428879916517,0.36208363911355435,-1.0,0.1419878320824688,-1.0,0.07306495811948055
CC(=O)Oc1ccccc1C(=O)O,CC(O)CO,10,0.19700218266890257,0.3517670031284288,0.5576199638599808,0.5736696993060131,0.18110808998344496,0.5610789008327925
CC(=O)c1ccc(N=C2NCCC3(CCCCC3)S,CCCCCC,5,2.502023938058965,2.4993681831754175,-1.0,-1.0,,
CC(=O)c1ccc(N=C2SCC3CCCN2C3)cc,CCCCCC,5,1.923537643952164,1.9090276786279488,-1.0,-1.0,,
CC(=O)c1ccc(N=C2SCC3CCCN2C3)cc,CCCCCCCCO,5,0.16599148816531462,0.16639788557627894,-0.21742135918901617,0.7790127489195551,,
CC(=O)c1ccc(S(C)(=O)=O)cc1,CCCCCC,11,0.3886859056613337,0.5169462627598334,-0.940284935845618,0.20956703970858814,-1.0,0.010126196009570876
CC(=O)c1ccc(S(C)(=O)=O)cc1,OCCO,11,0.19738414867765505,0.26149662467328627,-0.4618700780794418,0.382290860978855,-1.0,0.05163602874713635
CC(C(=O)O)c1ccc2c(c1)CC(=O)c1c,CCOCCO,10,0.45887459100765543,0.45486619510822,-1.0,-0.6081628743951468,-1.0,-1.0
CC(C(=O)O)c1ccc2c(c1)CC(=O)c1c,COCCO,10,0.324809349172829,0.2939422060729284,-1.0,0.5735372609611482,-1.0,0.17313381251351967
CC(C)(C#N)N=NC(C)(C)C#N,c1ccccc1,10,0.4763121330398166,0.5028368771047369,-1.0,0.26182350096237306,-1.0,-0.3320878043587505
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n,CCCCCCCO,9,0.14737099812065374,0.18147276548297586,0.2818324498507192,0.7614102102179119,-1.0,0.6585658861166912
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n,CCCCCCO,9,0.06712322708485938,0.103387319406348,0.8528630828949633,0.9236892606078472,0.2577632983424153,0.9181386237198004
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n,CCCCCC,10,1.1533148254795214,1.4605809241905499,-1.0,-0.068566019580929,-1.0,-0.5175112790237084
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n,CCCCCCC,10,0.8562047682975515,0.9760407657399734,-1.0,0.12660914804394485,-1.0,-0.2573234215128162
CC(C)(C)NSc1nc2ccccc2s1,CC(C)(C)N,9,0.7869538371093033,0.7237614676404426,-1.0,-1.0,-1.0,-1.0
CC(C)(C)OC(=O)N1CCCC1C(=O)O,CCC(C)O,5,0.25309861318275667,0.25893249760650683,-1.0,-0.874979353615362,,
CC(C)(C)OC(=O)N1CCCC1C(=O)O,ClCCl,5,0.6048437305151261,0.5908417924948712,-1.0,-1.0,,
CC(C)(C)c1ccc(C(=O)O)cc1,CC(=O)O,9,0.15488032889267547,0.24299484234616048,0.3607902653280146,0.6610286181905775,-1.0,0.6385867622256276
CC(C)(C)c1ccc(C(=O)O)cc1,CCCCCC,9,0.09937932530658346,0.1223449059175743,0.43188880389607576,0.8147484387840769,-1.0,0.7336851794699497
CC(C)(C)c1ccc(C(=O)O)cc1,CCCCCCCCO,9,0.10186365229547754,0.12300263769810778,-0.6085043442219471,0.4980432432720717,-1.0,-0.017134972820594507
CC(C)(C)c1ccc(C(=O)O)cc1,COC(=O)c1ccc(C(C)(C),9,0.2665619766064071,0.24894985062024017,-1.0,0.02688777594871239,-1.0,-0.7636809872323005
CC(C)(C)c1ccc(C(=O)O)cc1,Cc1ccc(C(C)(C)C)cc1,9,0.40227179440207816,0.3831561621396016,-1.0,-0.23553416175988007,-1.0,-1.0
CC(C)(C)c1ccc(OP2OCC3(CO2)COP(,CC(C)(C)O,7,0.24610205583070952,0.407933354220185,0.045069827614488855,0.4872448875402572,-1.0,0.3881854374880135
CC(C)(O)P1(=O)OCC2(CO1)COP(=O),CC(=O)O,10,0.5800823814039057,0.6866304311192817,-1.0,-1.0,-1.0,-1.0
CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C,OCCO,10,0.1590483414148787,0.13917951398911352,-0.888292396088215,0.67663552247773,-1.0,0.2205982590133505
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl),CC(C)CCO,9,0.13275391824618102,0.19448120722837198,0.6639190917030793,0.8533560472116355,-1.0,0.8247792477706463
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl),CCC(=O)OC,9,0.36965853699729834,0.39343925068526014,-1.0,0.31616576441826294,-1.0,-0.1226912013231074
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl),CCC(C)O,9,0.1620984782144646,0.11779904540618771,0.3801553547973272,0.929613033303701,-1.0,0.8154309884399065
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl),CCCCOC(C)=O,9,0.6831975211779051,0.7007900375944435,-1.0,-1.0,-1.0,-1.0
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl),CCCOC(C)=O,9,0.4618696939020508,0.46145789519805863,-1.0,-0.04541382519170489,-1.0,-0.9375582898580037
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl),O=C1CCCCC1,9,0.1457813257684254,0.16119891849708706,0.44204009786951337,0.8527634590088337,-1.0,0.7711085316592864
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,CCC(C)O,9,0.30683169217870493,0.44227247614912846,-1.0,-0.8281178121429835,-1.0,-1.0
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,NC=O,7,0.49146615831193424,0.4703449752130563,-1.0,-1.0,-1.0,-1.0
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,O=C1CCCCC1,9,0.3008610429050359,0.40367624171319916,-1.0,-1.0,-1.0,-1.0
CC(C)=CCCC(C)C1CCC2(C)C3=C(CCC,CS(C)=O,7,0.546341630053969,0.46120031051377003,-1.0,0.19163632576868672,-1.0,-0.005614924933366572
CC(C)COc1ccc(B(O)O)cc1,CC1CCCCC1,8,0.8482303135186509,1.2315010053328248,-1.0,-0.4682280800037135,-1.0,-0.5243512865995898
CC(C)COc1ccc(B(O)O)cc1,CCC(=O)CC,12,0.41642472846579454,0.49456048469164,-1.0,-1.0,-1.0,-1.0
CC(C)COc1ccc(B(O)O)cc1,CCCOCCC,13,0.2473055429512619,0.5387575176609285,0.3742553373952662,0.3432481091697114,0.2998162627750415,0.4452836926065914
CC(C)COc1cccc(B(O)O)c1,CC1CCCCC1,10,0.594652153147493,1.2973234025771,-0.04368032496979457,0.08899927082980885,-0.226558522060625,0.14119564533065387
